"Fcast_date";"DATE";"Station.Name";"TMAX_ENSEMBLE_AVG";"TMIN_ENSEMBLE_AVG";"TAVG_ENSEMBLE_AVG";"RAIN_ENSEMBLE_AVG";"Zona_Pas";"Admin"
"2019-12-28";2019-12-29;"Rosario Aerodrome";36,66;22,75;29,71;0,34;"Nucleo Norte";"Santa Fe"
"2019-12-28";2019-12-30;"Rosario Aerodrome";34,32;21;27,66;4,46;"Nucleo Norte";"Santa Fe"
"2019-12-28";2019-12-31;"Rosario Aerodrome";28,27;19,51;23,89;8,86;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-01;"Rosario Aerodrome";28,91;17,87;23,39;0,28;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-02;"Rosario Aerodrome";28,11;16,78;22,45;0,04;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-03;"Rosario Aerodrome";29,7;16,36;23,03;0,04;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-04;"Rosario Aerodrome";32,01;17,78;24,89;0,02;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-05;"Rosario Aerodrome";31,49;17,35;24,42;1,06;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-06;"Rosario Aerodrome";32,02;17,33;24,67;3,21;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-07;"Rosario Aerodrome";33,52;18,29;25,91;0,67;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-08;"Rosario Aerodrome";34,19;19,65;26,92;3,7;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-09;"Rosario Aerodrome";33,16;20,2;26,68;6,95;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-10;"Rosario Aerodrome";32;19,38;25,69;5,89;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-11;"Rosario Aerodrome";31,72;18,61;25,17;9,1;"Nucleo Norte";"Santa Fe"
"2019-12-28";2020-01-12;"Rosario Aerodrome";29,44;17,97;23,7;8,63;"Nucleo Norte";"Santa Fe"
"2019-12-28";2019-12-29;"Reconquista Aerodrome";37,21;24,76;30,98;0,06;"Ctro N SFe";"Santa Fe"
"2019-12-28";2019-12-30;"Reconquista Aerodrome";36,46;25,13;30,8;0,42;"Ctro N SFe";"Santa Fe"
"2019-12-28";2019-12-31;"Reconquista Aerodrome";34,52;23,26;28,89;9,92;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-01;"Reconquista Aerodrome";32,4;22,35;27,38;4,22;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-02;"Reconquista Aerodrome";30,87;21,29;26,08;0,24;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-03;"Reconquista Aerodrome";31,08;20,55;25,82;0,07;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-04;"Reconquista Aerodrome";32,74;20,47;26,6;0;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-05;"Reconquista Aerodrome";35,04;20,71;27,87;0,11;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-06;"Reconquista Aerodrome";35,6;22,29;28,95;0,5;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-07;"Reconquista Aerodrome";34,93;23,13;29,03;2,26;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-08;"Reconquista Aerodrome";34,74;23,51;29,12;2,25;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-09;"Reconquista Aerodrome";36;24,36;30,18;3,78;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-10;"Reconquista Aerodrome";36,27;24,85;30,56;4,59;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-11;"Reconquista Aerodrome";35,24;24,61;29,92;4,04;"Ctro N SFe";"Santa Fe"
"2019-12-28";2020-01-12;"Reconquista Aerodrome";34,51;23,7;29,1;6,67;"Ctro N SFe";"Santa Fe"
"2019-12-28";2019-12-29;"Resistencia Aero.";38,33;24,65;31,49;0,14;"NEA";"Chaco"
"2019-12-28";2019-12-30;"Resistencia Aero.";37,59;24,56;31,08;0,37;"NEA";"Chaco"
"2019-12-28";2019-12-31;"Resistencia Aero.";37,38;24,1;30,74;6,51;"NEA";"Chaco"
"2019-12-28";2020-01-01;"Resistencia Aero.";35;22,79;28,9;5,07;"NEA";"Chaco"
"2019-12-28";2020-01-02;"Resistencia Aero.";33,42;21,45;27,43;0,17;"NEA";"Chaco"
"2019-12-28";2020-01-03;"Resistencia Aero.";33,33;20,6;26,96;0,11;"NEA";"Chaco"
"2019-12-28";2020-01-04;"Resistencia Aero.";34,61;19,78;27,19;0,02;"NEA";"Chaco"
"2019-12-28";2020-01-05;"Resistencia Aero.";37,04;20,47;28,75;0,05;"NEA";"Chaco"
"2019-12-28";2020-01-06;"Resistencia Aero.";36,96;22,76;29,86;1,04;"NEA";"Chaco"
"2019-12-28";2020-01-07;"Resistencia Aero.";35,34;23,9;29,62;4,76;"NEA";"Chaco"
