"Fcast_date";"DATE";"Station.Name";"TMAX_ENSEMBLE_AVG";"TMIN_ENSEMBLE_AVG";"TAVG_ENSEMBLE_AVG";"RAIN_ENSEMBLE_AVG";"Zona_Pas";"Admin"
"2019-12-29";2019-12-29;"Rosario Aerodrome";36,07;21,83;28,95;0,61;"Nucleo Norte";"Santa Fe"
"2019-12-29";2019-12-30;"Rosario Aerodrome";32,46;20,69;26,57;6,26;"Nucleo Norte";"Santa Fe"
"2019-12-29";2019-12-31;"Rosario Aerodrome";28,63;18,97;23,8;5,61;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-01;"Rosario Aerodrome";29,43;17,1;23,27;0,03;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-02;"Rosario Aerodrome";28,43;15,91;22,17;0;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-03;"Rosario Aerodrome";29,55;16,55;23,05;0;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-04;"Rosario Aerodrome";31,62;17,49;24,56;0;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-05;"Rosario Aerodrome";33,29;18,27;25,78;0,28;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-06;"Rosario Aerodrome";33,97;18,59;26,28;3,69;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-07;"Rosario Aerodrome";32,13;17,72;24,92;5,27;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-08;"Rosario Aerodrome";32,01;18,3;25,15;4,48;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-09;"Rosario Aerodrome";32,53;18,66;25,59;4,01;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-10;"Rosario Aerodrome";32,76;19,14;25,95;5,15;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-11;"Rosario Aerodrome";30,92;18,55;24,73;6,14;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-12;"Rosario Aerodrome";28,88;17,39;23,14;7,18;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-13;"Rosario Aerodrome";28,03;16,59;22,31;4,74;"Nucleo Norte";"Santa Fe"
"2019-12-29";2019-12-29;"Reconquista Aerodrome";37,48;24,99;31,24;0,03;"Ctro N SFe";"Santa Fe"
"2019-12-29";2019-12-30;"Reconquista Aerodrome";37,67;25,22;31,44;0,84;"Ctro N SFe";"Santa Fe"
"2019-12-29";2019-12-31;"Reconquista Aerodrome";33,64;23,29;28,46;5,58;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-01;"Reconquista Aerodrome";33,35;22,16;27,75;0,98;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-02;"Reconquista Aerodrome";31,36;21,19;26,28;0,09;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-03;"Reconquista Aerodrome";31,48;20,35;25,91;0,02;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-04;"Reconquista Aerodrome";33,02;20,38;26,7;0;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-05;"Reconquista Aerodrome";34,44;20,93;27,68;0,01;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-06;"Reconquista Aerodrome";35,97;22,37;29,17;0,43;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-07;"Reconquista Aerodrome";36,1;23,21;29,66;1,94;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-08;"Reconquista Aerodrome";35,05;23,5;29,27;3,23;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-09;"Reconquista Aerodrome";35,87;23,74;29,8;4,15;"Ctro N SFe";"Santa Fe"
